,Date,-9t,-8t,-7t,-6t,-5t,-4t,-3t,-2t,-1t,0t,1t,2t,3t,4t,5t,6t,7t,8t,9t,10t
0,2000-11-09,72.625,72.484375,74.328125,75.0,75.390625,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25
1,2000-11-10,72.484375,74.328125,75.0,75.390625,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25
2,2000-11-13,74.328125,75.0,75.390625,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875
3,2000-11-14,75.0,75.390625,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5
4,2000-11-15,75.390625,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0
5,2000-11-16,75.0,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5
6,2000-11-17,75.59375,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375
7,2000-11-20,75.171875,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375
8,2000-11-21,74.875,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875
9,2000-11-22,74.09375,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875
10,2000-11-24,73.0,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5
11,2000-11-27,72.390625,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875
12,2000-11-28,72.4375,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875,73.625
13,2000-11-29,73.21875,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875,73.625,73.59375
14,2000-11-30,73.0,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875,73.625,73.59375,71.875
15,2000-12-01,73.03125,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875,73.625,73.59375,71.875,69.5
16,2000-12-04,72.296875,71.59375,70.4375,70.25,70.25,71.875,71.5,70.0,70.5,69.375,71.375,72.71875,71.1875,72.5,73.6875,73.625,73.59375,71.875,69.5,70.0
