,Date,-9t,-8t,-7t,-6t,-5t,-4t,-3t,-2t,-1t,0t,1t,2t,3t,4t,5t,6t,7t,8t,9t,10t
0,2000-06-02,142.65625,140.59375,140.21875,137.75,140.03125,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625
1,2000-06-05,140.59375,140.21875,137.75,140.03125,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625
2,2000-06-06,140.21875,137.75,140.03125,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625
3,2000-06-07,137.75,140.03125,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875
4,2000-06-08,140.03125,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375
5,2000-06-09,138.484375,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5
6,2000-06-12,139.28125,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125
7,2000-06-13,141.875,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125
8,2000-06-14,143.90625,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125
9,2000-06-15,148.3125,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625
10,2000-06-16,147.0,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375
11,2000-06-19,146.4375,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5
12,2000-06-20,146.21875,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5,146.265625
13,2000-06-21,147.8125,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5,146.265625,144.875
14,2000-06-22,147.515625,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5,146.265625,144.875,146.375
15,2000-06-23,146.625,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5,146.265625,144.875,146.375,147.65625
16,2000-06-26,145.0,147.75,147.6875,148.625,146.5625,148.625,146.875,147.4375,145.5,145.03125,145.8125,145.3125,144.640625,143.984375,145.5,146.265625,144.875,146.375,147.65625,147.25
