,Date,-9t,-8t,-7t,-6t,-5t,-4t,-3t,-2t,-1t,0t,1t,2t,3t,4t,5t,6t,7t,8t,9t,10t
0,1998-02-02,77.8125,78.09375,77.1875,77.5,77.375,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125
1,1998-02-03,78.09375,77.1875,77.5,77.375,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125
2,1998-02-04,77.1875,77.5,77.375,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625
3,1998-02-05,77.5,77.375,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125
4,1998-02-06,77.375,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0
5,1998-02-09,77.125,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125
6,1998-02-10,78.375,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25
7,1998-02-11,79.0625,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375
8,1998-02-12,79.9375,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375
9,1998-02-13,80.625,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75
10,1998-02-17,81.0,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875
11,1998-02-18,81.21875,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625
12,1998-02-19,81.8125,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625,84.5
13,1998-02-20,81.5,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625,84.5,85.09375
14,1998-02-23,82.09375,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625,84.5,85.09375,85.625
15,1998-02-24,82.03125,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625,84.5,85.09375,85.625,86.375
16,1998-02-25,82.96875,82.734375,83.34375,84.3125,84.078125,84.640625,84.078125,85.0,84.125,84.25,84.609375,85.109375,85.75,85.21875,85.625,84.5,85.09375,85.625,86.375,86.9375
